name,ring,quadrant,isNew,description
Webpack,Adopted,Frontend,,"Webpack is a JavaScript module bundler, capable of transforming, building, or packaging almost all front-end assets.  We use webpack extensively in all of our micro-frontends, and in some legacy frontends co-located with their corresponding backends.  Webpack is an industry standard and has proven itself to be very flexible and have a wider variety of available plugins and loaders than other bundlers like rollup or parcel.  We expect to continue to invest in our usage of webpack."
enzyme,Accepted,Frontend,,"React component testing library with a particular focus on snapshots and class components.
We use this in some MFEs for React unit testing.  Our recommendation is to move away from using enzyme for component testing, and suggest using Blip: testing-library instead.  Enzyme has a more complex set of testing primitives than testing-library, (subjectively) making it a bit harder to reason with. Blip: testing-library has a simpler API, promotes standard ways of querying the DOM, and helps us keep our code accessible by encouraging a11y/ARIA-based querying for writing expectations/assertions."
lodash,Accepted,Frontend,,"lodash is a JavaScript utility library providing a wide variety of quality-of-life improvements to working in JS code, particularly utilities for working on strings, objects, and arrays that are available in other languages.  Some of the prominence of this tool has faded as ES6 has brought more power to the base JS syntax.  Our recommendation is to individually install lodash functions in micro-frontends and libraries as necessary, but to avoid installing the entire library at once.  "
react-bootstrap,Accepted,Frontend,,A maintained set of React components built around the Javascript UI components available in the bootstrapJS library. These form the underpinning of much of the Paragon component library.
React hooks,Accepted,Frontend,,"React Hooks are pure JavaScript components written explicitly in functional React components that allow you to access React state and life cycle features from functional components and provide the option to move away from writing classes. Hooks make it easy to extract and reuse stateful logic across components.<br/><br/>

This technique is used in much of our React micro-frontend code.  We have found that functional React components with hooks work well for the vast majority of our use cases; however, particularly complex components with event handlers and state management logic sometimes benefit from being written as a class component."
redux-thunk,Accepted,Frontend,,"A simple Redux middleware that helps standardize how a frontend application handles side effects and asynchronous tasks.  It enables complex data actions to be grouped and gives us a consistent, reusable, predictable place to make API calls outside the React component hierarchy itself.  redux-thunk is used widely in our micro-frontends, and has proven itself to be much more approachable than other tools like redux-saga."
Redux,Accepted,Frontend,,"Redux is a powerful state management library used in many of our micro-frontends.  We recommend using it with the redux-toolkit library, which simplifies the implementation and reduces the amount of boilerplate needed to use Redux.  Some micro-frontends choose not to use Redux; they opt for simpler state management mechanisms available in React itself, such as component state and prop passing, as well as React context.  When to use Redux is a frequent topic of debate. In many cases where a reducer pattern is useful, using Redux and redux-toolkit rather than hand-coding reducers for the `useReducer` hook can - again - reduce boilerplate and help ensure the code follows best practices and is approachable.  "
Renovate,Accepted,Frontend,,Renovate is an automated dependency updater for GitHub repositories. Open edX repositories use Renovate to automate updates of frontend packages (the edx-requirements-bot covers Python and other backend packages).
cypress,Provisional,Frontend,,"<a href=""https://www.cypress.io/how-it-works/"">Cypress</a> is an end-to-end testing package with multi-browser support. We have wanted to make use of Cypress for functional testing of our micro-frontends for some time as a means to round out our test suites, which are primarily Blip: Jest based today. See also <a href=""Playwright.dev"">Playwright.dev</a> and <a href=""https://github.com/puppeteer/puppeteer"">Puppeteer</a> as alternatives."
JSDoc,Provisional,Frontend,,"JSDoc is a JavaScript documentation tool and standard for writing docstrings for modules, objects, and functions.  Some of our libraries model their documentation structure on JSDoc.  Notably, Blip: frontend-platform generates its documentation site with JSDoc. Investigation hasn't found any other reasonable tools for JavaScript code comments."
Lerna,Provisional,Frontend,,"Lerna is a web-package build tool that optimizes the workflow around maintaining and managing multi-package repositories with git and npm.  We have considered using Lerna in several repositories, such as Paragon.  It has been adopted for a few packages, but is not widely used, as the vast majority of the frontend code is broken up into module/library-specific Git repositories."
Netlify,Provisional,Frontend,,A cloud computing company that offers hosting and serverless backend services for web applications and static websites. Currently used for Paragon PR deploy previews.
react-test-renderer,Provisional,Frontend,,"react-test-renderer is a testing tool that allows rendering of React components into pure JavaScript objects that can be queried and rendered into snapshots for testing.
In particular, this tool is more powerful for rendering hook-based React components than its counterpart (Enzyme). This tool is used to write unit tests in many of our MFEs and Paragon, and is an important tool in our testing strategy."
backbone,Hold,Frontend,,"JS UI-creation library present in legacy code systems. It provides a powerful MVC framework, with less focus on small composable code.
Our legacy JS is written in this architecture, but we are moving away from it as a company, towards React as a framework"
Font Awesome,Hold,Frontend,,"Font Awesome is a large and heavily maintained free icon library.  Integrates very easily with React UI development.  This is a legacy icon set that we are transitioning away from, but still serves as the basis of our icon library.  Rather than using font-awesome, we are building an Open edX-specific icon set in Blip: Paragon icons, and encourage our frontends to adopt that instead."
IE 11 support,Hold,Frontend,,"We continue to support IE 11 in the near term because edx.org and edX for Business continues to have a number of partners and customers which depend on the browser.  We are actively working with partners to cut over to more modern browsers so we can drop support.  Doing so will allow us to simplify build processes (e.g., transpile less code) and use more modern browser features.  The industry is quickly moving away from IE11, as Microsoft itself has signaled their intention to stop supporting it in Microsoft 365 applications in 2021 and officially dropping support for IE11 in Windows 10 in June 2022."
requirejs,Hold,Frontend,,"requirejs is a JavaScript file and module loader used in some of our legacy frontends.  It is not used in micro-frontends at all; MFEs use webpack.  We should not use requirejs anymore, and should attempt to remove it in favor of webpack wherever possible."
Typescript,Hold,Frontend,,"TypeScript is a strict syntactical superset of JavaScript, adding optional static typing to the language. TypeScript requires architectural support and that all associated code is updated to the new paradigm, which can be costly.  Some providers in the community favor TypeScript, but we do not currently use it, and have no plans to start.  For consistency and the approachability of our codebase, we'd recommend using ES6 unless there is a very compelling reason to adopt TypeScript."
yarn,Hold,Frontend,,"An alternative to npm for Javascript package installation. The two have minor differences in speed/performance, security, and implementation. In many of these categories, yarn is slightly ahead of npm, but npm is also keeping pace nicely. There are no current plans to adopt yarn, but it has been posed as an alternative to npm."
attrs,Adopted,Technologies,,"<a href=""https://www.attrs.org/"">attrs</a> is a Python library for writing classes with minimal boilerplate.  It inspired the dataclasses module in the Python standard library, but is more full-featured.  Attrs is widely considered the best-practice library for minimal-boilerplate classes.
Attrs is best to use when a class is a passive container of data, but is also a good foundation to build on for active mutable objects."
celery,Adopted,Technologies,,A technology for asynchronously performing background tasks in Python.  By moving non urgent tasks to celery workers we reduce the load on our application servers and speed up response times to the end users.
Confluence docs,Adopted,Technologies,,"<a href=""https://openedx.atlassian.net/wiki/home"">Confluence</a> is a wiki used by both edX.org internal teams as well as Open edX community members; some pages are private to edX.org while others are public. This wiki is used for documentation of projects and technologies, as well as to facilitate collaboration via shared docs."
Django REST Framework,Adopted,Technologies,,"<a href=""https://www.django-rest-framework.org/"">DRF</a> is the most commonly used library for creating REST APIs with Django. Most of our REST APIs have been built using this. We have some older endpoints that accept form posts (e.g. /events) and some REST-like behavior that is manually coded (XBlocks handlers), but we strongly recommend using DRF because of the expertise and tooling we've developed around it."
Django,Adopted,Technologies,,"<a href=""https://www.djangoproject.com/"">Django</a> is the most popular Python full-stack web framework. Django currently powers edx-platform and many other services in Open edX."
Docker,Adopted,Technologies,,"<a href=""https://www.docker.com/>""Docker</a> is both a company that provides <a href=""http://dockerhub.com/"">services</a> to edX.org and an open source technology.  The open source technology consists of a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. See more about how edX.org uses Docker <a href=""https://openedx.atlassian.net/wiki/spaces/SRE/pages/152797300/Docker"">here</a>."
GitHub,Adopted,Technologies,,"Service provider for software development and version control using Git. Github offers the distributed version control and source code management functionality of Git, plus additional features. All Open edX repositories are hosted in Github and most repositories are in the <a href=""https://github.com/edx"">edx</a> organization, though some are in the <a href=""https://github.com/openedx"">openedx</a> organization."
gunicorn,Adopted,Technologies,,"<a href=""https://gunicorn.org/"">Gunicorn</a> is a Python WSGI (Web Server Gateway Interface – a standard Python interface for web apps/frameworks) HTTP server. Open edX uses this to run Django services in production environments. If we start using async views and channels in our Django services, we will need to adopt an ASGI (Asynchronous Server Gateway Interface) server like daphne or uvicorn."
isort,Adopted,Technologies,,"A linting utility which can report violations of an established set of rules for sorting Python code imports, and optionally fix them automaticaly. Used in continuous integration for many Open edX repositories."
make,Adopted,Technologies,,"<a href=""https://www.gnu.org/software/make/manual/make.html"">make</a> is a standard tool available on most development and deployment systems. Allows the definition of common sequences of shell commands that are run frequently during development using a ""Makefile"". Used to provide a standard and expected interface across different development environments."
memcached,Adopted,Technologies,,"<a href=""http://memcached.org/"">Memcached</a> is a key-value cache server, used to enhance performance. Also used by some services to store session data."
MySQL,Adopted,Technologies,,"<a href=""https://www.mysql.com/"">MySQL</a> is Open edX's primary transactional SQL database. Though the Django ORM insulates developers from most of the details, Open edX schemas and practices have been tweaked to accomodate the operational characteristics of this database at scale over the years. The most common database for Django is Blip: PostgreSQL."
nginx,Adopted,Technologies,,"<a href=""https://www.nginx.com/"">Nginx</a> is a web server that is used both for serving static assets and as a reverse proxy for Django services running in gunicorn. It is used primarily for performance reasons. Nginx buffers requests to these services so that slow clients cannot tie down workers. It also has more efficient static file handling than Open edX's Python stack."
node.js,Adopted,Technologies,,"A JavaScript execution environment that can be used from the command line.  Often used to implement web services, Open edX primarily uses it for industry-standard tooling to build and test frontend JavaScript code and optimize static assets for deployment.  We do not use Node to write micro-services."
pylint,Adopted,Technologies,,"<a href=""https://www.pylint.org/"">pylint</a> is the most full-featured standalone Python linting tool. Open edX uses it to catch common errors and style violations in Python code. This frees people to focus their code reviews on more substantive concerns."
pytest,Adopted,Technologies,,"<a href=""https://docs.pytest.org/"">pytest</a> is the Python test framework Open edX uses for automated Python testing.  It is widely adopted through the Python world, and boasts an impressive array of features."
Read The Docs,Adopted,Technologies,,"<a href=""https://readthedocs.org"">Read The Docs</a> is a web service offering hosting for documentation. Open edX uses it to publish Blip: ReStructured Text documentation."
Redis,Adopted,Technologies,,"A high-performance key-value store. Open edX uses it by default as a Blip: celery broker, and has considered switching to it from Blip: memcached as a cache server (as it would remove a distinct service from the architecture and allow the cache to persist through process restarts)."
reStructured Text,Adopted,Technologies,,"<a href=""https://en.wikipedia.org/wiki/ReStructuredText"">ReStructured Text</a> is a markup format similar in spirit to Markdown. Open edX uses it for documentation, including OEPs, ADRs, and README files.  It includes a breadth of capabilities that let it scale well across those different uses."
Swagger,Adopted,Technologies,,"A tool for generating HTML documentation for web APIs.  Used in some Open edX repositories to document the APIs they expose to web front ends, mobile applications, and automation scripts."
Transifex,Adopted,Technologies,,"<a href=""https://www.transifex.com/open-edx/edx-platform/"">Transifex</a> is a crowd-sourced translations platform used by Open edX to facilitate translating platform text from English to a variety of other languages. At this time, Transifex is not used for translating course content or technical documentation."
Ubuntu,Adopted,Technologies,,"A very popular distribution of the Linux kernel and associated code, derived from the volunteer-run Debian distribution but adding commercial support and more frequent releases.  Most Open edX services are intended to be installed on this operating system."
django-storages,Accepted,Technologies,,"A package which provides a uniform interface for working with (mainly user-uploaded) files in Django, regardless of where the files are actually stored.  Allows the use of S3 for production AWS deployments, Swift for OpenStack deployments, local files for development and test environments, etc. by just customizing a few settings."
Elasticsearch,Accepted,Technologies,,"A full-text search engine used for search functionality in several Open edX services.  Recently the subject of a licensing spat between the developers and Amazon, it is currently still the market-dominant open source search engine.  Open edX primarily uses the latest version compatible with Amazon's hosted offering, although edx.org doesn't currently utilize that offering."
Github Actions,Accepted,Technologies,,"A continuous integration system included with GitHub.  Being free for open source projects, relatively inexpensive for private ones, and fairly full-featured, this is now our preferred CI system for most projects."
Markdown,Accepted,Technologies,,"Markdown is a lightweight markup language commonly used in the JavaScript ecosystem.  While our standard for documentation is RST as documented in <a href=""https://github.com/edx/open-edx-proposals/blob/master/oeps/oep-0019-bp-developer-documentation.rst#format"">OEP-19</a>, we've found that Markdown is the only option in some specific cases in our frontend ecosystem. The Paragon and frontend-platform docs sites in particular both utilize Markdown because RST-based tooling didn't exist to generate those sites."
black,Provisional,Technologies,,"<a href=""https://black.readthedocs.io/"">black</a> is a Python code formatter. It offers very few customization options (""You can have any color you want, as long as it is black"").  Its goal is to standardize formatting, leaving developers to focus on more important concerns.  Black is widely adopted across the Python world.  Its lack of customization ensures consistent formatting with no bickering over details.  Open edX doesn't yet use black much.  Initial adoption requires a massive commit that reformats all files. This interferes with historical analysis of the code (git blame), and so can be controversial, and will also require rebasing all in-flight pull requests."
bridgekeeper,Provisional,Technologies,,"A full-featured implementation of object-scoped rule-based authorization in Django (e.g., ""does this user have characteristics which allows them to perform this kind of action on this database record?"").  See <a href=""https://open-edx-proposals.readthedocs.io/en/latest/oep-0009-bp-permissions.html"">OEP-9</a> for more details."
GraphQL,Provisional,Technologies,,"<a href=""https://graphql.org/"">GraphQL</a> is both: <ol><li>a query language for APIs</li><li>a runtime for fulfilling those queries with your existing data</li></ol>GraphQL allows an API caller to specify the exact data they need returned and organizes an API by types/fields instead of endpoints. New types/fields can be added without a new API version. GraphQL is designed to build APIs that are more flexible than a fixed list of REST endpoints. The Open edX platform currently uses REST API endpoints instead of GraphQL."
neo4j,Provisional,Technologies,,"<a href=""https://neo4j.com/"">Neo4j</a> is a graph database, currently used for ad hoc queries of course content via CourseGraph."
openapi,Provisional,Technologies,,"A specification for describing web APIs, derived from Blip: Swagger.  Some of the Open edX API documentation follows this specification."
Pact,Provisional,Technologies,,"A framework for consumer-based contract testing, which helps prevent inadvertent breaking changes to actively used web APIs (without requiring slow and difficult to maintain browser automation tests).  Usage for Open edX has been discussed for years, and an implementation is now being piloted by an edX.org squad."
PostgreSQL,Provisional,Technologies,,"The most popular relational database for most Django projects other than Open edX, <a href=""https://www.postgresql.org/"">PostgreSQL</a> offers much of the functionality that Open edX currently uses MongoDB and Elasticsearch for. PostgreSQL has been successfully used by some Open edX installations, but isn't officially supported (primarily because it wasn't supported by Amazon's RDS when edx.org was first lauched)."
Ansible,Hold,Technologies,,"An infrastructure orchestration tool used to build stage and production application servers from scratch.  This technology is being replaced with Docker images in newer services so it no longer has code to build all Open edX services.  The Ansible code can be found in the <a href=""https://github.com/edx/configuration"">Configuration</a> repository."
Circle CI,Hold,Technologies,,A continuous integration system which has been popular with some Open edX community members for running tests that edX.org runs in Jenkins.  May be losing usage in favor of Blip: GitHub Actions.
django-rules,Hold,Technologies,,"An early implementation of object-scoped rule-based authorization in Django (e.g., ""does this user have characteristics which allows them to perform this kind of action on this database record?""). Blip: bridgekeeper is a newer implementation with more features that we have started switching to."
